dataset,classifier_type,n_trees,n_features,train_time,infer_time,accuracy,feature_importance
cmc,decision,25,6,18.3853,1.2898,0.5458,"{'Wifes_age': 3732, 'Wifes_education': 498, 'Husbands_education': 1042, 'Number_of_children_ever_born': 1642, 'Wifes_religion': 701, 'Wifes_now_working%3F': 647, 'Husbands_occupation': 1069, 'Standard-of-living_index': 1181, 'Media_exposure': 308, '__total__': 10820}"
cmc,decision,25,unif,13.9705,1.0931,0.5356,"{'Wifes_age': 2393, 'Wifes_education': 436, 'Husbands_education': 751, 'Number_of_children_ever_born': 1262, 'Wifes_religion': 407, 'Wifes_now_working%3F': 601, 'Husbands_occupation': 594, 'Standard-of-living_index': 835, 'Media_exposure': 174, '__total__': 7453}"
cmc,decision,50,2,4.3222,1.6245,0.4678,"{'Wifes_age': 904, 'Wifes_education': 107, 'Husbands_education': 88, 'Number_of_children_ever_born': 504, 'Wifes_religion': 28, 'Wifes_now_working%3F': 43, 'Husbands_occupation': 97, 'Standard-of-living_index': 63, 'Media_exposure': 30, '__total__': 1864}"
cmc,decision,50,4,18.9853,2.2109,0.522,"{'Wifes_age': 4075, 'Wifes_education': 474, 'Husbands_education': 1062, 'Number_of_children_ever_born': 2053, 'Wifes_religion': 611, 'Wifes_now_working%3F': 572, 'Husbands_occupation': 748, 'Standard-of-living_index': 886, 'Media_exposure': 274, '__total__': 10755}"
cmc,decision,50,6,39.109,2.4995,0.5424,"{'Wifes_age': 7298, 'Wifes_education': 1404, 'Husbands_education': 1517, 'Number_of_children_ever_born': 4486, 'Wifes_religion': 818, 'Wifes_now_working%3F': 1471, 'Husbands_occupation': 2433, 'Standard-of-living_index': 2593, 'Media_exposure': 605, '__total__': 22625}"
cmc,decision,50,unif,31.454,2.2387,0.5424,"{'Wifes_age': 5886, 'Wifes_education': 757, 'Husbands_education': 1664, 'Number_of_children_ever_born': 2894, 'Wifes_religion': 937, 'Wifes_now_working%3F': 1071, 'Husbands_occupation': 1641, 'Standard-of-living_index': 2039, 'Media_exposure': 262, '__total__': 17151}"
cmc,decision,75,2,7.0543,2.3794,0.4847,"{'Wifes_age': 1763, 'Wifes_education': 133, 'Husbands_education': 234, 'Number_of_children_ever_born': 433, 'Wifes_religion': 83, 'Wifes_now_working%3F': 57, 'Husbands_occupation': 199, 'Standard-of-living_index': 198, 'Media_exposure': 28, '__total__': 3128}"
cmc,decision,75,4,27.8361,3.3875,0.5254,"{'Wifes_age': 5993, 'Wifes_education': 504, 'Husbands_education': 1209, 'Number_of_children_ever_born': 2907, 'Wifes_religion': 659, 'Wifes_now_working%3F': 906, 'Husbands_occupation': 1154, 'Standard-of-living_index': 1396, 'Media_exposure': 568, '__total__': 15296}"
cmc,decision,75,6,53.3043,3.5976,0.5458,"{'Wifes_age': 10174, 'Wifes_education': 2055, 'Husbands_education': 2947, 'Number_of_children_ever_born': 4806, 'Wifes_religion': 1934, 'Wifes_now_working%3F': 2182, 'Husbands_occupation': 3601, 'Standard-of-living_index': 3719, 'Media_exposure': 595, '__total__': 32013}"
cmc,decision,75,unif,47.3045,3.2668,0.5153,"{'Wifes_age': 9767, 'Wifes_education': 1125, 'Husbands_education': 2160, 'Number_of_children_ever_born': 4261, 'Wifes_religion': 1326, 'Wifes_now_working%3F': 1447, 'Husbands_occupation': 2908, 'Standard-of-living_index': 3016, 'Media_exposure': 521, '__total__': 26531}"
cmc,decision,100,2,8.2604,3.201,0.4644,"{'Wifes_age': 1864, 'Wifes_education': 147, 'Husbands_education': 106, 'Number_of_children_ever_born': 750, 'Wifes_religion': 61, 'Wifes_now_working%3F': 102, 'Husbands_occupation': 263, 'Standard-of-living_index': 229, 'Media_exposure': 87, '__total__': 3609}"
cmc,decision,100,4,37.3747,4.4378,0.5322,"{'Wifes_age': 8321, 'Wifes_education': 951, 'Husbands_education': 1401, 'Number_of_children_ever_born': 3845, 'Wifes_religion': 851, 'Wifes_now_working%3F': 1026, 'Husbands_occupation': 1827, 'Standard-of-living_index': 2512, 'Media_exposure': 637, '__total__': 21371}"
cmc,decision,100,6,72.8464,5.1984,0.5424,"{'Wifes_age': 14070, 'Wifes_education': 1922, 'Husbands_education': 3747, 'Number_of_children_ever_born': 6759, 'Wifes_religion': 2616, 'Wifes_now_working%3F': 2852, 'Husbands_occupation': 3823, 'Standard-of-living_index': 5643, 'Media_exposure': 1372, '__total__': 42804}"
cmc,decision,100,unif,60.5878,4.3013,0.5322,"{'Wifes_age': 10750, 'Wifes_education': 1838, 'Husbands_education': 2615, 'Number_of_children_ever_born': 5797, 'Wifes_religion': 1301, 'Wifes_now_working%3F': 2694, 'Husbands_occupation': 2966, 'Standard-of-living_index': 4545, 'Media_exposure': 636, '__total__': 33142}"
hepatitis,decision,1,4,0.0169,0.0054,0.8387,"{'age': 0, 'sex': 2, 'steroid': 0, 'antivirals': 0, 'fatigue': 0, 'malaise': 0, 'anorexia': 3, 'liver_big': 0, 'liver_firm': 0, 'spleen_palpable': 0, 'spiders': 0, 'ascites': 1, 'varices': 0, 'bilirubin': 0, 'alk_phosphate': 0, 'sgot': 0, 'albumin': 0, 'protime': 0, 'histology': 2, '__total__': 8}"
hepatitis,decision,1,9,0.0736,0.0048,0.7742,"{'age': 2, 'sex': 0, 'steroid': 0, 'antivirals': 0, 'fatigue': 1, 'malaise': 1, 'anorexia': 1, 'liver_big': 0, 'liver_firm': 0, 'spleen_palpable': 0, 'spiders': 1, 'ascites': 0, 'varices': 0, 'bilirubin': 0, 'alk_phosphate': 8, 'sgot': 0, 'albumin': 0, 'protime': 3, 'histology': 1, '__total__': 18}"
hepatitis,decision,1,14,0.1083,0.0044,0.8387,"{'age': 2, 'sex': 0, 'steroid': 0, 'antivirals': 1, 'fatigue': 1, 'malaise': 2, 'anorexia': 1, 'liver_big': 0, 'liver_firm': 1, 'spleen_palpable': 0, 'spiders': 0, 'ascites': 1, 'varices': 1, 'bilirubin': 5, 'alk_phosphate': 0, 'sgot': 0, 'albumin': 5, 'protime': 4, 'histology': 0, '__total__': 24}"
hepatitis,decision,1,unif,0.1314,0.0046,0.8065,"{'age': 6, 'sex': 1, 'steroid': 2, 'antivirals': 0, 'fatigue': 0, 'malaise': 1, 'anorexia': 1, 'liver_big': 0, 'liver_firm': 0, 'spleen_palpable': 0, 'spiders': 0, 'ascites': 1, 'varices': 1, 'bilirubin': 4, 'alk_phosphate': 1, 'sgot': 0, 'albumin': 1, 'protime': 1, 'histology': 0, '__total__': 20}"
hepatitis,decision,10,4,0.6148,0.0296,0.9677,"{'age': 50, 'sex': 0, 'steroid': 12, 'antivirals': 10, 'fatigue': 10, 'malaise': 3, 'anorexia': 13, 'liver_big': 6, 'liver_firm': 0, 'spleen_palpable': 7, 'spiders': 3, 'ascites': 5, 'varices': 4, 'bilirubin': 36, 'alk_phosphate': 14, 'sgot': 98, 'albumin': 62, 'protime': 0, 'histology': 3, '__total__': 336}"
hepatitis,decision,10,9,0.8161,0.0347,0.9355,"{'age': 15, 'sex': 8, 'steroid': 7, 'antivirals': 2, 'fatigue': 9, 'malaise': 11, 'anorexia': 13, 'liver_big': 1, 'liver_firm': 7, 'spleen_palpable': 11, 'spiders': 6, 'ascites': 9, 'varices': 4, 'bilirubin': 19, 'alk_phosphate': 27, 'sgot': 51, 'albumin': 52, 'protime': 15, 'histology': 6, '__total__': 273}"
hepatitis,decision,10,14,0.9927,0.0294,0.7742,"{'age': 30, 'sex': 3, 'steroid': 5, 'antivirals': 0, 'fatigue': 4, 'malaise': 7, 'anorexia': 3, 'liver_big': 2, 'liver_firm': 11, 'spleen_palpable': 2, 'spiders': 7, 'ascites': 10, 'varices': 8, 'bilirubin': 21, 'alk_phosphate': 25, 'sgot': 12, 'albumin': 17, 'protime': 15, 'histology': 3, '__total__': 185}"
hepatitis,decision,10,unif,0.7905,0.031,0.871,"{'age': 10, 'sex': 4, 'steroid': 0, 'antivirals': 1, 'fatigue': 0, 'malaise': 3, 'anorexia': 6, 'liver_big': 5, 'liver_firm': 8, 'spleen_palpable': 8, 'spiders': 5, 'ascites': 0, 'varices': 4, 'bilirubin': 13, 'alk_phosphate': 71, 'sgot': 36, 'albumin': 20, 'protime': 18, 'histology': 6, '__total__': 218}"
hepatitis,decision,25,4,1.2066,0.0716,0.9355,"{'age': 36, 'sex': 12, 'steroid': 45, 'antivirals': 12, 'fatigue': 7, 'malaise': 6, 'anorexia': 22, 'liver_big': 11, 'liver_firm': 33, 'spleen_palpable': 4, 'spiders': 5, 'ascites': 4, 'varices': 6, 'bilirubin': 84, 'alk_phosphate': 46, 'sgot': 118, 'albumin': 143, 'protime': 70, 'histology': 15, '__total__': 679}"
hepatitis,decision,25,9,2.3542,0.0793,0.9032,"{'age': 62, 'sex': 9, 'steroid': 13, 'antivirals': 2, 'fatigue': 12, 'malaise': 19, 'anorexia': 16, 'liver_big': 14, 'liver_firm': 16, 'spleen_palpable': 17, 'spiders': 14, 'ascites': 14, 'varices': 12, 'bilirubin': 67, 'alk_phosphate': 105, 'sgot': 92, 'albumin': 104, 'protime': 41, 'histology': 9, '__total__': 638}"
hepatitis,decision,25,14,3.233,0.0743,0.8065,"{'age': 66, 'sex': 3, 'steroid': 5, 'antivirals': 10, 'fatigue': 1, 'malaise': 17, 'anorexia': 15, 'liver_big': 8, 'liver_firm': 14, 'spleen_palpable': 12, 'spiders': 20, 'ascites': 16, 'varices': 5, 'bilirubin': 59, 'alk_phosphate': 78, 'sgot': 46, 'albumin': 79, 'protime': 57, 'histology': 15, '__total__': 526}"
hepatitis,decision,25,unif,1.9898,0.0731,0.9032,"{'age': 46, 'sex': 10, 'steroid': 3, 'antivirals': 9, 'fatigue': 5, 'malaise': 8, 'anorexia': 18, 'liver_big': 9, 'liver_firm': 12, 'spleen_palpable': 10, 'spiders': 17, 'ascites': 8, 'varices': 4, 'bilirubin': 81, 'alk_phosphate': 76, 'sgot': 62, 'albumin': 38, 'protime': 52, 'histology': 14, '__total__': 482}"
hepatitis,decision,50,4,2.4124,0.1565,0.9032,"{'age': 151, 'sex': 29, 'steroid': 33, 'antivirals': 27, 'fatigue': 26, 'malaise': 24, 'anorexia': 27, 'liver_big': 28, 'liver_firm': 43, 'spleen_palpable': 31, 'spiders': 23, 'ascites': 24, 'varices': 20, 'bilirubin': 138, 'alk_phosphate': 168, 'sgot': 214, 'albumin': 214, 'protime': 83, 'histology': 34, '__total__': 1337}"
hepatitis,decision,50,9,4.208,0.1487,0.9355,"{'age': 160, 'sex': 40, 'steroid': 30, 'antivirals': 12, 'fatigue': 24, 'malaise': 43, 'anorexia': 23, 'liver_big': 47, 'liver_firm': 44, 'spleen_palpable': 24, 'spiders': 30, 'ascites': 25, 'varices': 36, 'bilirubin': 130, 'alk_phosphate': 147, 'sgot': 130, 'albumin': 168, 'protime': 107, 'histology': 27, '__total__': 1247}"
hepatitis,decision,50,14,6.1214,0.1532,0.871,"{'age': 142, 'sex': 19, 'steroid': 34, 'antivirals': 20, 'fatigue': 7, 'malaise': 45, 'anorexia': 17, 'liver_big': 13, 'liver_firm': 28, 'spleen_palpable': 25, 'spiders': 45, 'ascites': 44, 'varices': 12, 'bilirubin': 126, 'alk_phosphate': 131, 'sgot': 114, 'albumin': 118, 'protime': 82, 'histology': 41, '__total__': 1063}"
hepatitis,decision,50,unif,4.2315,0.1461,0.8387,"{'age': 190, 'sex': 25, 'steroid': 38, 'antivirals': 15, 'fatigue': 14, 'malaise': 32, 'anorexia': 47, 'liver_big': 17, 'liver_firm': 37, 'spleen_palpable': 21, 'spiders': 18, 'ascites': 14, 'varices': 17, 'bilirubin': 125, 'alk_phosphate': 164, 'sgot': 159, 'albumin': 92, 'protime': 81, 'histology': 30, '__total__': 1136}"
hepatitis,decision,75,4,3.7502,0.224,0.871,"{'age': 405, 'sex': 47, 'steroid': 41, 'antivirals': 41, 'fatigue': 23, 'malaise': 30, 'anorexia': 61, 'liver_big': 77, 'liver_firm': 87, 'spleen_palpable': 36, 'spiders': 20, 'ascites': 28, 'varices': 38, 'bilirubin': 261, 'alk_phosphate': 231, 'sgot': 274, 'albumin': 203, 'protime': 127, 'histology': 41, '__total__': 2071}"
hepatitis,decision,75,9,5.6771,0.2156,0.8387,"{'age': 201, 'sex': 31, 'steroid': 44, 'antivirals': 26, 'fatigue': 44, 'malaise': 59, 'anorexia': 39, 'liver_big': 47, 'liver_firm': 62, 'spleen_palpable': 52, 'spiders': 49, 'ascites': 40, 'varices': 51, 'bilirubin': 273, 'alk_phosphate': 205, 'sgot': 225, 'albumin': 172, 'protime': 155, 'histology': 66, '__total__': 1841}"
hepatitis,decision,75,14,9.2574,0.2029,0.8387,"{'age': 173, 'sex': 24, 'steroid': 64, 'antivirals': 18, 'fatigue': 25, 'malaise': 38, 'anorexia': 10, 'liver_big': 17, 'liver_firm': 28, 'spleen_palpable': 17, 'spiders': 69, 'ascites': 31, 'varices': 39, 'bilirubin': 197, 'alk_phosphate': 198, 'sgot': 192, 'albumin': 160, 'protime': 147, 'histology': 41, '__total__': 1488}"
hepatitis,decision,75,unif,6.3287,0.2045,0.9355,"{'age': 199, 'sex': 36, 'steroid': 28, 'antivirals': 7, 'fatigue': 12, 'malaise': 30, 'anorexia': 42, 'liver_big': 48, 'liver_firm': 25, 'spleen_palpable': 27, 'spiders': 54, 'ascites': 15, 'varices': 36, 'bilirubin': 91, 'alk_phosphate': 298, 'sgot': 207, 'albumin': 169, 'protime': 145, 'histology': 48, '__total__': 1517}"
hepatitis,decision,100,4,4.8328,0.3067,0.9032,"{'age': 511, 'sex': 35, 'steroid': 82, 'antivirals': 33, 'fatigue': 46, 'malaise': 43, 'anorexia': 70, 'liver_big': 80, 'liver_firm': 59, 'spleen_palpable': 50, 'spiders': 21, 'ascites': 28, 'varices': 50, 'bilirubin': 273, 'alk_phosphate': 361, 'sgot': 322, 'albumin': 313, 'protime': 215, 'histology': 78, '__total__': 2670}"
hepatitis,decision,100,9,8.3041,0.295,0.9032,"{'age': 249, 'sex': 52, 'steroid': 79, 'antivirals': 13, 'fatigue': 59, 'malaise': 79, 'anorexia': 52, 'liver_big': 77, 'liver_firm': 68, 'spleen_palpable': 58, 'spiders': 53, 'ascites': 39, 'varices': 54, 'bilirubin': 288, 'alk_phosphate': 335, 'sgot': 379, 'albumin': 273, 'protime': 175, 'histology': 78, '__total__': 2460}"
hepatitis,decision,100,14,11.4385,0.3151,0.8387,"{'age': 365, 'sex': 44, 'steroid': 33, 'antivirals': 14, 'fatigue': 24, 'malaise': 84, 'anorexia': 51, 'liver_big': 37, 'liver_firm': 74, 'spleen_palpable': 67, 'spiders': 103, 'ascites': 72, 'varices': 70, 'bilirubin': 254, 'alk_phosphate': 229, 'sgot': 230, 'albumin': 216, 'protime': 158, 'histology': 58, '__total__': 2183}"
hepatitis,decision,100,unif,7.7843,0.2809,0.9355,"{'age': 251, 'sex': 37, 'steroid': 49, 'antivirals': 36, 'fatigue': 44, 'malaise': 52, 'anorexia': 54, 'liver_big': 45, 'liver_firm': 79, 'spleen_palpable': 55, 'spiders': 81, 'ascites': 52, 'varices': 40, 'bilirubin': 311, 'alk_phosphate': 281, 'sgot': 178, 'albumin': 269, 'protime': 144, 'histology': 51, '__total__': 2109}"
nursery,decision,1,2,0.0987,0.3551,0.561,"{'parents': 0, 'has_nurs': 0, 'form': 0, 'children': 6, 'housing': 0, 'finance': 0, 'social': 0, 'health': 2, '__total__': 8}"
nursery,decision,1,4,0.3223,0.4302,0.7218,"{'parents': 0, 'has_nurs': 0, 'form': 24, 'children': 0, 'housing': 13, 'finance': 0, 'social': 33, 'health': 2, '__total__': 72}"
nursery,decision,1,6,0.8593,0.432,0.6154,"{'parents': 28, 'has_nurs': 54, 'form': 0, 'children': 56, 'housing': 0, 'finance': 40, 'social': 97, 'health': 7, '__total__': 282}"
nursery,decision,1,unif,0.7912,0.5764,0.4703,"{'parents': 0, 'has_nurs': 31, 'form': 78, 'children': 72, 'housing': 0, 'finance': 0, 'social': 58, 'health': 0, '__total__': 239}"
nursery,decision,10,2,0.971,3.1276,0.728,"{'parents': 6, 'has_nurs': 6, 'form': 44, 'children': 14, 'housing': 13, 'finance': 2, 'social': 0, 'health': 12, '__total__': 97}"
nursery,decision,10,4,4.4178,4.3281,0.8584,"{'parents': 50, 'has_nurs': 124, 'form': 304, 'children': 299, 'housing': 93, 'finance': 56, 'social': 150, 'health': 23, '__total__': 1099}"
nursery,decision,10,6,18.5085,4.93,0.9371,"{'parents': 479, 'has_nurs': 865, 'form': 2070, 'children': 1208, 'housing': 631, 'finance': 893, 'social': 1537, 'health': 34, '__total__': 7717}"
nursery,decision,10,unif,7.1117,3.8252,0.6617,"{'parents': 189, 'has_nurs': 231, 'form': 672, 'children': 279, 'housing': 238, 'finance': 374, 'social': 373, 'health': 34, '__total__': 2390}"
nursery,decision,25,2,2.3556,7.9187,0.5324,"{'parents': 30, 'has_nurs': 43, 'form': 33, 'children': 58, 'housing': 9, 'finance': 14, 'social': 38, 'health': 12, '__total__': 237}"
nursery,decision,25,4,11.0047,11.0518,0.8661,"{'parents': 116, 'has_nurs': 323, 'form': 823, 'children': 609, 'housing': 157, 'finance': 170, 'social': 474, 'health': 39, '__total__': 2711}"
nursery,decision,25,6,43.1553,12.0836,0.6562,"{'parents': 688, 'has_nurs': 1901, 'form': 4915, 'children': 3441, 'housing': 1111, 'finance': 2201, 'social': 3218, 'health': 95, '__total__': 17570}"
nursery,decision,25,unif,25.6175,10.4698,0.9464,"{'parents': 544, 'has_nurs': 941, 'form': 2607, 'children': 2088, 'housing': 697, 'finance': 1320, 'social': 1633, 'health': 64, '__total__': 9894}"
nursery,decision,50,2,4.5032,15.1217,0.647,"{'parents': 30, 'has_nurs': 64, 'form': 40, 'children': 103, 'housing': 80, 'finance': 37, 'social': 50, 'health': 34, '__total__': 438}"
nursery,decision,50,4,20.068,21.0472,0.9313,"{'parents': 271, 'has_nurs': 748, 'form': 1090, 'children': 933, 'housing': 582, 'finance': 380, 'social': 814, 'health': 119, '__total__': 4937}"
nursery,decision,50,6,92.1679,24.7942,0.9421,"{'parents': 2836, 'has_nurs': 4360, 'form': 11823, 'children': 6249, 'housing': 1973, 'finance': 3465, 'social': 6965, 'health': 207, '__total__': 37878}"
nursery,decision,50,unif,47.5842,20.1677,0.963,"{'parents': 1376, 'has_nurs': 1831, 'form': 4550, 'children': 3674, 'housing': 1313, 'finance': 2420, 'social': 3070, 'health': 174, '__total__': 18408}"
nursery,decision,75,2,7.423,23.5115,0.6763,"{'parents': 39, 'has_nurs': 121, 'form': 161, 'children': 186, 'housing': 80, 'finance': 46, 'social': 61, 'health': 52, '__total__': 746}"
nursery,decision,75,4,30.7268,32.6377,0.8252,"{'parents': 409, 'has_nurs': 988, 'form': 2258, 'children': 1281, 'housing': 556, 'finance': 698, 'social': 1172, 'health': 123, '__total__': 7485}"
nursery,decision,75,6,129.7754,35.8653,0.9653,"{'parents': 2969, 'has_nurs': 6298, 'form': 13158, 'children': 10037, 'housing': 3846, 'finance': 5787, 'social': 9778, 'health': 319, '__total__': 52192}"
nursery,decision,75,unif,56.1224,29.7032,0.973,"{'parents': 1000, 'has_nurs': 1825, 'form': 5009, 'children': 4158, 'housing': 1713, 'finance': 1905, 'social': 3419, 'health': 248, '__total__': 19277}"
nursery,decision,100,2,9.525,31.6499,0.5818,"{'parents': 64, 'has_nurs': 156, 'form': 231, 'children': 151, 'housing': 98, 'finance': 83, 'social': 115, 'health': 52, '__total__': 950}"
nursery,decision,100,4,37.0088,41.4136,0.89,"{'parents': 437, 'has_nurs': 1010, 'form': 2326, 'children': 1675, 'housing': 754, 'finance': 774, 'social': 1500, 'health': 234, '__total__': 8710}"
nursery,decision,100,6,160.8445,46.8087,0.9599,"{'parents': 3819, 'has_nurs': 6889, 'form': 17003, 'children': 12895, 'housing': 4020, 'finance': 8450, 'social': 11810, 'health': 403, '__total__': 65289}"
nursery,decision,100,unif,71.0635,37.7563,0.9691,"{'parents': 1140, 'has_nurs': 1920, 'form': 7270, 'children': 4863, 'housing': 2180, 'finance': 3113, 'social': 4609, 'health': 298, '__total__': 25393}"
